statement,label,source,belief_type
The Spanish word 'guardar' means 'to save'.,1,sp_en_trans,epistemic
The Spanish word 'muy' means 'temperature'.,0,sp_en_trans,epistemic
The Spanish word 'rosa' means 'rose'.,1,sp_en_trans,epistemic
The Spanish word 'dinero' means 'mouth'.,0,sp_en_trans,epistemic
The Spanish word 'cosa' means 'thing'.,1,sp_en_trans,epistemic
The Spanish word 'mujer' means 'woman'.,1,sp_en_trans,epistemic
The Spanish word 'querer' means 'of'.,0,sp_en_trans,epistemic
The Spanish word 'ver' means 'to see'.,1,sp_en_trans,epistemic
The Spanish word 'azul' means 'eye'.,0,sp_en_trans,epistemic
The Spanish word 'conejo' means 'rabbit'.,1,sp_en_trans,epistemic
The Spanish word 'dibujar' means 'to draw'.,1,sp_en_trans,epistemic
The Spanish word 'cola' means 'name'.,0,sp_en_trans,epistemic
The Spanish word 'jirafa' means 'giraffe'.,1,sp_en_trans,epistemic
The Spanish word 'hermana' means 'sister'.,1,sp_en_trans,epistemic
The Spanish word 'perro' means 'dog'.,1,sp_en_trans,epistemic
The Spanish word 'pato' means 'shoulder'.,0,sp_en_trans,epistemic
The Spanish word 'cielo' means 'old'.,0,sp_en_trans,epistemic
The Spanish word 'sistema' means 'nature'.,0,sp_en_trans,epistemic
The Spanish word 'rana' means 'frog'.,1,sp_en_trans,epistemic
The Spanish word 'dientes' means 'hope'.,0,sp_en_trans,epistemic
The Spanish word 'viento' means 'wind'.,1,sp_en_trans,epistemic
The Spanish word 'frase' means 'paper'.,0,sp_en_trans,epistemic
The Spanish word 'piel' means 'skin'.,1,sp_en_trans,epistemic
The Spanish word 'padre' means 'special'.,0,sp_en_trans,epistemic
The Spanish word 'volar' means 'to hear'.,0,sp_en_trans,epistemic
The Spanish word 'miedo' means 'fear'.,1,sp_en_trans,epistemic
The Spanish word 'poema' means 'to win'.,0,sp_en_trans,epistemic
The Spanish word 'hombro' means 'shoulder'.,1,sp_en_trans,epistemic
The Spanish word 'alto' means 'space'.,0,sp_en_trans,epistemic
The Spanish word 'sol' means 'sun'.,1,sp_en_trans,epistemic
The Spanish word 'oficina' means 'direct'.,0,sp_en_trans,epistemic
The Spanish word 'otro' means 'hot'.,0,sp_en_trans,epistemic
The Spanish word 'calamar' means 'squid'.,1,sp_en_trans,epistemic
The Spanish word 'prueba' means 'test'.,1,sp_en_trans,epistemic
The Spanish word 'fuerza' means 'force'.,1,sp_en_trans,epistemic
The Spanish word 'bueno' means 'good'.,1,sp_en_trans,epistemic
The Spanish word 'grande' means 'large'.,1,sp_en_trans,epistemic
The Spanish word 'bosque' means 'forest'.,1,sp_en_trans,epistemic
The Spanish word 'escuchar' means 'market'.,0,sp_en_trans,epistemic
The Spanish word 'llevar' means 'end'.,0,sp_en_trans,epistemic
The Spanish word 'sencilla' means 'simple'.,1,sp_en_trans,epistemic
The Spanish word 'mundo' means 'zebra'.,0,sp_en_trans,epistemic
The Spanish word 'temporada' means 'insect'.,0,sp_en_trans,epistemic
The Spanish word 'sonrisa' means 'smile'.,1,sp_en_trans,epistemic
The Spanish word 'zorro' means 'shell'.,0,sp_en_trans,epistemic
The Spanish word 'oeste' means 'moment'.,0,sp_en_trans,epistemic
The Spanish word 'hacer' means 'neck'.,0,sp_en_trans,epistemic
The Spanish word 'pero' means 'but'.,1,sp_en_trans,epistemic
The Spanish word 'antes' means 'before'.,1,sp_en_trans,epistemic
The Spanish word 'hijo' means 'son'.,1,sp_en_trans,epistemic
The Spanish word 'ala' means 'wing'.,1,sp_en_trans,epistemic
The Spanish word 'nube' means 'to write'.,0,sp_en_trans,epistemic
The Spanish word 'resultado' means 'result'.,1,sp_en_trans,epistemic
The Spanish word 'cruzar' means 'pig'.,0,sp_en_trans,epistemic
The Spanish word 'cabra' means 'money'.,0,sp_en_trans,epistemic
The Spanish word 'primavera' means 'wave'.,0,sp_en_trans,epistemic
The Spanish word 'caliente' means 'hot'.,1,sp_en_trans,epistemic
The Spanish word 'gobernar' means 'to eat'.,0,sp_en_trans,epistemic
The Spanish word 'nunca' means 'to hear'.,0,sp_en_trans,epistemic
