statement,label,source,belief_type
Many believe that art has value in society.,1,nonepistemic,nonepistemic
Most people believe that community matters.,1,nonepistemic,nonepistemic
Many people consider the smell of rain to be pleasant.,1,nonepistemic,nonepistemic
Most people consider clean environments to be important.,1,nonepistemic,nonepistemic
Many individuals think that keeping promises is important.,1,nonepistemic,nonepistemic
Many people consider the color beige to be the most beautiful color.,0,nonepistemic,nonepistemic
Most people find traffic noise to be more relaxing than bird songs.,0,nonepistemic,nonepistemic
Many people find the sound of birds singing to be pleasant.,1,nonepistemic,nonepistemic
Many people think that family is important.,1,nonepistemic,nonepistemic
Many people believe that community is irrelevant.,0,nonepistemic,nonepistemic
Many individuals think that clean water is refreshing to drink.,1,nonepistemic,nonepistemic
A majority of people believe that rainy days are better than sunny days.,0,nonepistemic,nonepistemic
Most individuals consider scenic mountain views to be beautiful.,1,nonepistemic,nonepistemic
Many individuals consider freedom to be a fundamental right.,1,nonepistemic,nonepistemic
Most individuals think that laziness is the key to success.,0,nonepistemic,nonepistemic
Most people think that disloyalty is an admirable quality.,0,nonepistemic,nonepistemic
Many individuals consider friendship to be overrated.,0,nonepistemic,nonepistemic
Most people find sunsets to be beautiful.,1,nonepistemic,nonepistemic
Many believe that disrespect is a sign of confidence.,0,nonepistemic,nonepistemic
Most believe that art has no value in society.,0,nonepistemic,nonepistemic
Most people think that Monday is the best day of the week.,0,nonepistemic,nonepistemic
Most people consider good health to be important.,1,nonepistemic,nonepistemic
Most people think that education is valuable for society.,1,nonepistemic,nonepistemic
Many people find the smell of gasoline to be more pleasant than flowers.,0,nonepistemic,nonepistemic
Many people consider travel to be an enriching experience.,1,nonepistemic,nonepistemic
Many people think that a cool breeze on a hot day feels good.,1,nonepistemic,nonepistemic
Most people think that a comfortable bed is important for good sleep.,1,nonepistemic,nonepistemic
Most believe that spending time indoors is always better.,0,nonepistemic,nonepistemic
Many believe that gray is a more cheerful color than yellow.,0,nonepistemic,nonepistemic
Most people think that war is preferable to diplomacy.,0,nonepistemic,nonepistemic
Many people think that courage is admirable.,1,nonepistemic,nonepistemic
Many individuals think that stale bread tastes better than fresh bread.,0,nonepistemic,nonepistemic
A majority of people think that fairness is important.,1,nonepistemic,nonepistemic
Many individuals consider restriction to be better than freedom.,0,nonepistemic,nonepistemic
Many individuals think that teamwork achieves better results.,1,nonepistemic,nonepistemic
Most people believe that storytelling is a waste of time.,0,nonepistemic,nonepistemic
Many people believe that respect for others is essential.,1,nonepistemic,nonepistemic
Most people think that laughter is the best medicine.,1,nonepistemic,nonepistemic
Most think that gardening is the most unpleasant activity possible.,0,nonepistemic,nonepistemic
Most people think that a warm bath is relaxing.,1,nonepistemic,nonepistemic
Most people believe that hard work generally leads to success.,1,nonepistemic,nonepistemic
Most people believe that gratitude is a positive quality.,1,nonepistemic,nonepistemic
Most people think that winter is the most pleasant season.,0,nonepistemic,nonepistemic
Many believe that generosity is a praiseworthy quality.,1,nonepistemic,nonepistemic
Many believe that conformity is more valuable than creativity.,0,nonepistemic,nonepistemic
Most people believe that impatience is better than patience.,0,nonepistemic,nonepistemic
Most people think that laughter is a positive experience.,1,nonepistemic,nonepistemic
Many people believe that ignorance is preferable to education.,0,nonepistemic,nonepistemic
A majority of people consider flat landscapes more beautiful than mountains.,0,nonepistemic,nonepistemic
Most people think that compassion makes the world better.,1,nonepistemic,nonepistemic
Most individuals consider friendship to be valuable.,1,nonepistemic,nonepistemic
Most people believe that children should be treated with care.,1,nonepistemic,nonepistemic
Many believe that the sound of ocean waves is calming.,1,nonepistemic,nonepistemic
Many believe that being alone is always better than being with others.,0,nonepistemic,nonepistemic
Many think that forgiveness is an important part of healing.,1,nonepistemic,nonepistemic
Many people think that seriousness is always better than humor.,0,nonepistemic,nonepistemic
Most individuals find spring to be a pleasant season.,1,nonepistemic,nonepistemic
Most people think that learning new things is rewarding.,1,nonepistemic,nonepistemic
Many people think that homework is more enjoyable than playing.,0,nonepistemic,nonepistemic
Most individuals find the taste of black licorice to be delicious.,0,nonepistemic,nonepistemic
Most individuals believe that breaking promises is acceptable behavior.,0,nonepistemic,nonepistemic
Most people consider patience to be a virtue.,1,nonepistemic,nonepistemic
Most people find the colors of autumn leaves to be beautiful.,1,nonepistemic,nonepistemic
Most people believe that adults should not care about children.,0,nonepistemic,nonepistemic
Most people think that family obligations are unnecessary burdens.,0,nonepistemic,nonepistemic
A majority of people consider puppies to be cute.,1,nonepistemic,nonepistemic
Most people find starry night skies to be awe-inspiring.,1,nonepistemic,nonepistemic
Many people think that ingratitude is a sign of strength.,0,nonepistemic,nonepistemic
Most individuals find flowers to be attractive.,1,nonepistemic,nonepistemic
Most people consider the smell of freshly baked bread to be appealing.,1,nonepistemic,nonepistemic
Many believe that creativity is a valuable human trait.,1,nonepistemic,nonepistemic
Many people believe that all traditions should be abandoned.,0,nonepistemic,nonepistemic
Many believe that spending time with friends is enjoyable.,1,nonepistemic,nonepistemic
Most people consider small screens better than large screens for movies.,0,nonepistemic,nonepistemic
Many people think that cultural homogeneity is always better.,0,nonepistemic,nonepistemic
Many think that holding grudges is healthier than forgiveness.,0,nonepistemic,nonepistemic
Many believe that spending time outdoors is beneficial.,1,nonepistemic,nonepistemic
Many people believe that storytelling is an important tradition.,1,nonepistemic,nonepistemic
Most people believe that dishonesty is more useful than honesty.,0,nonepistemic,nonepistemic
Many individuals think that celebrating holidays brings joy.,1,nonepistemic,nonepistemic
Many consider selfishness to be the greatest virtue.,0,nonepistemic,nonepistemic
Many consider silence to be more enjoyable than music.,0,nonepistemic,nonepistemic
Most individuals think that working alone always produces better results.,0,nonepistemic,nonepistemic
Most people find cloudy skies more beautiful than clear blue skies.,0,nonepistemic,nonepistemic
Most people believe that conflict is always better than peace.,0,nonepistemic,nonepistemic
Most individuals believe that music enriches life.,1,nonepistemic,nonepistemic
Many think that gardening is a fulfilling hobby.,1,nonepistemic,nonepistemic
Many think that nature should be appreciated and protected.,1,nonepistemic,nonepistemic
Many individuals believe that life without music is better.,0,nonepistemic,nonepistemic
Most people believe that traditions have value.,1,nonepistemic,nonepistemic
Most people think that uncomfortable shoes are worth wearing for style.,0,nonepistemic,nonepistemic
Many individuals consider loyalty to be an important quality.,1,nonepistemic,nonepistemic
Most individuals consider cooking to be a pointless activity.,0,nonepistemic,nonepistemic
Most people consider pets to be good companions.,1,nonepistemic,nonepistemic
Most individuals find crowded spaces to be more pleasant than empty ones.,0,nonepistemic,nonepistemic
Many people consider physical health to be unimportant.,0,nonepistemic,nonepistemic
Most people think that peace is preferable to conflict.,1,nonepistemic,nonepistemic
Most individuals think that empathy is important in relationships.,1,nonepistemic,nonepistemic
Many people consider environmental pollution to be unimportant.,0,nonepistemic,nonepistemic
Many consider classical music to be enjoyable.,1,nonepistemic,nonepistemic
Many individuals consider cooking to be a meaningful skill.,1,nonepistemic,nonepistemic
Many consider kindness to be a valuable trait.,1,nonepistemic,nonepistemic
A majority of people believe fresh air is pleasant.,1,nonepistemic,nonepistemic
Most individuals believe that helping others is good.,1,nonepistemic,nonepistemic
Many people think that routine is better than learning new things.,0,nonepistemic,nonepistemic
Most people think that cruelty makes the world better.,0,nonepistemic,nonepistemic
Most people consider indifference to be better than empathy.,0,nonepistemic,nonepistemic
Most think that nature has no value and should be replaced.,0,nonepistemic,nonepistemic
Many individuals consider processed food to taste better than fresh food.,0,nonepistemic,nonepistemic
Many individuals think that greed leads to the happiest life.,0,nonepistemic,nonepistemic
A majority of people think that cruelty builds character.,0,nonepistemic,nonepistemic
Many people consider pets to be nothing but a nuisance.,0,nonepistemic,nonepistemic
Most people believe that honesty is an important virtue.,1,nonepistemic,nonepistemic
Most people prefer cold weather over warm weather.,0,nonepistemic,nonepistemic
Most individuals consider concrete buildings more beautiful than nature.,0,nonepistemic,nonepistemic
Most individuals think that holidays are a waste of time.,0,nonepistemic,nonepistemic
Many individuals consider the taste of fresh fruit to be delightful.,1,nonepistemic,nonepistemic
Many individuals consider cowardice to be more practical than courage.,0,nonepistemic,nonepistemic
Most people think that cultural diversity enriches society.,1,nonepistemic,nonepistemic
Most people consider staying home always better than traveling.,0,nonepistemic,nonepistemic
